#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as,Label
1631723345,91210,86648392,140.30.20.1,1,60,86630040,86630040,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,33210,80,6,0,2,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,60,86630496,86630496,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,33608,80,6,0,2,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86630828,86630828,0,0,140.30.20.59,152.148.48.14,140.30.20.2,1168,1168,80,39598,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,487,86631124,86631124,0,0,140.30.20.59,152.148.48.14,140.30.20.2,1168,1168,80,40002,6,0,24,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86631556,86631556,0,0,152.148.48.11,140.30.20.84,0.0.0.0,1168,1168,57602,443,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86631960,86631960,0,0,152.148.48.11,140.30.20.84,0.0.0.0,1168,1168,58028,443,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86632356,86632356,0,0,140.30.20.12,152.148.48.13,140.30.20.2,1168,1168,80,52776,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,60,86632636,86632636,0,0,140.30.20.12,152.148.48.13,140.30.20.2,1168,1168,80,53210,6,0,18,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,2,160,86630828,86632936,0,0,140.30.20.3,140.30.20.59,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86632936,86632936,0,0,140.30.20.59,152.148.48.14,140.30.20.2,1168,1168,80,41998,6,0,17,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86633288,86633288,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,36788,80,6,0,17,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86633732,86633732,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,37196,80,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86634076,86634076,0,0,140.30.20.191,152.148.48.12,140.30.20.2,1168,1168,80,37602,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,60,86634464,86634464,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,38010,80,6,0,2,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,419,86634828,86634828,0,0,152.148.48.14,140.30.20.59,0.0.0.0,1168,1168,44008,80,6,0,24,0,0,0,0,1
