dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,28,611,638,63633,15464,17,0,0,1
1,28,611,638,63741,14930,17,0,0,1
1,28,611,638,63633,39242,17,0,0,1
1,28,611,638,63629,16992,17,0,0,1
1,28,611,638,63631,59621,17,0,0,1
1,28,611,638,63799,14930,17,0,0,1
1,28,611,638,63632,8202,17,0,0,1
1,28,611,638,63630,17955,17,0,0,1
1,28,611,638,63630,19099,17,0,0,1
1,28,611,638,63755,14930,17,0,0,1
1,28,675,595,63629,40449,17,0,0,1
1,28,611,638,63630,24354,17,0,0,1
1,28,675,595,63727,14930,17,0,0,1
1,28,675,595,63630,10150,17,0,0,1
1,28,675,595,63633,10150,17,0,0,1
1,28,675,595,63627,46400,17,0,0,1
1,28,675,595,63632,61460,17,0,0,1
1,28,611,638,63629,43121,17,0,0,1
1,28,611,638,63629,26481,17,0,0,1
1,28,611,638,63627,55759,17,0,0,1
1,28,611,638,63769,14930,17,0,0,1
1,28,611,638,63628,52051,17,0,0,1
1,28,611,638,63629,18666,17,0,0,1
1,28,675,595,63656,14930,17,0,0,1
1,28,611,638,63632,7043,17,0,0,1
1,28,611,638,63629,57674,17,0,0,1
1,28,675,595,63821,14930,17,0,0,1
1,28,675,595,63629,1767,17,0,0,1
1,28,675,595,63631,18888,17,0,0,1
1,28,611,638,63631,36726,17,0,0,1
1,28,611,638,63743,14930,17,0,0,1
1,28,611,638,63633,25135,17,0,0,1
1,28,611,638,63628,55679,17,0,0,1
1,28,611,638,63627,25520,17,0,0,1
1,1480,656,675,51157,443,6,32,0,0
1,103,656,675,46430,443,6,136,0,0
1,243,656,675,40504,80,6,0,0,0
1,91,656,675,50235,443,6,32,0,0
1,52,656,675,55283,443,6,32,0,0
1,90,656,675,41740,443,6,0,0,0
1,52,656,675,53100,443,6,32,0,0
1,52,616,675,40932,443,6,0,0,0
1,52,656,675,38440,443,6,0,0,0
1,52,656,675,61777,443,6,0,0,0
1,557,656,675,49970,443,6,136,0,0
1,127,656,675,57575,443,6,32,0,0
1,1490,675,616,443,11506,6,40,0,0
1,1500,675,656,443,61520,6,0,0,0
1,198,675,656,443,65022,6,0,0,0
1,1500,675,656,443,62272,6,0,0,0
1,95,675,656,443,61983,6,0,0,0
1,40,675,656,443,64897,6,0,0,0
1,40,675,656,443,64898,6,0,0,0
1,90,675,666,443,59668,6,0,0,0
1,52,675,663,443,54731,6,0,0,0
1,52,675,634,443,9123,6,0,0,0
1,1290,675,634,443,29491,6,0,0,0
1,83,675,634,443,48352,6,0,0,0
1,268,675,651,443,18244,6,0,0,0
1,92,616,675,46522,53,17,0,0,0
9,9904,656,675,50022,3478,17,0,0,0
21,12091,656,675,50027,3480,17,0,0,0
3,778,656,675,50023,3480,17,136,0,0
